round_number,rank,player_name,team_name,matches_all,matches_played,percentage_played,matches_won,matches_lost,matches_won_percent
1,1,Player 001,Team 001,4,4,100.0,4,0,100.0
1,1,Player 002,Team 002,4,4,100.0,4,0,100.0
1,1,Player 003,Team 003,4,4,100.0,4,0,100.0
1,1,Player 004,Team 004,4,4,100.0,4,0,100.0
1,1,Player 005,Team 003,4,4,100.0,4,0,100.0
1,1,Player 006,Team 005,4,4,100.0,4,0,100.0
1,1,Player 007,Team 001,4,4,100.0,4,0,100.0
1,1,Player 008,Team 003,4,4,100.0,4,0,100.0
1,1,Player 009,Team 004,4,4,100.0,4,0,100.0
1,1,Player 010,Team 006,4,4,100.0,4,0,100.0
1,1,Player 011,,4,4,100.0,4,0,100.0
1,1,Player 012,Team 005,4,4,100.0,4,0,100.0
1,1,Player 013,Team 001,4,4,100.0,4,0,100.0
1,2,Player 014,Team 007,4,3,75.0,3,0,100.0
1,3,Player 015,Team 006,4,2,50.0,2,0,100.0
1,4,Player 016,Team 008,4,4,100.0,3,1,75.0
1,4,Player 017,Team 004,4,4,100.0,3,1,75.0
1,4,Player 018,Team 004,4,4,100.0,3,1,75.0
1,4,Player 019,Team 009,4,4,100.0,3,1,75.0
1,4,Player 020,Team 010,4,4,100.0,3,1,75.0
1,4,Player 021,Team 011,4,4,100.0,3,1,75.0
1,4,Player 022,Team 011,4,4,100.0,3,1,75.0
1,4,Player 023,Team 011,4,4,100.0,3,1,75.0
1,4,Player 024,Team 010,4,4,100.0,3,1,75.0
1,4,Player 025,Team 012,4,4,100.0,3,1,75.0
1,5,Player 026,Team 007,4,4,100.0,3,1,75.0
1,5,Player 027,Team 009,4,4,100.0,3,1,75.0
1,5,Player 028,Team 012,4,4,100.0,3,1,75.0
1,6,Player 029,Team 013,4,4,100.0,2,2,50.0
1,6,Player 030,Team 006,4,4,100.0,2,2,50.0
1,6,Player 031,Team 014,4,4,100.0,2,2,50.0
1,6,Player 032,Team 006,4,4,100.0,2,2,50.0
1,6,Player 033,Team 011,4,4,100.0,2,2,50.0
1,6,Player 034,Team 007,4,4,100.0,2,2,50.0
1,7,Player 035,Team 008,4,2,50.0,1,1,50.0
1,8,Player 036,Team 008,4,4,100.0,2,2,50.0
1,9,Player 037,Team 008,4,4,100.0,2,2,50.0
1,9,Player 038,Team 005,4,4,100.0,2,2,50.0
1,9,Player 039,Team 012,4,4,100.0,2,2,50.0
1,10,Player 040,Team 005,4,2,50.0,1,1,50.0
1,11,Player 041,Team 002,4,4,100.0,1,3,25.0
