round_number,round_match_number,home_player,home_team_name,away_player,away_team_name,home_player_points,away_player_points
1,1,Player 064,Team 010,Player 030,Team 006,1,3
1,1,Player 064,Team 010,Player 010,Team 006,0,3
1,1,Player 064,Team 010,Player 032,Team 006,1,3
1,1,Player 064,Team 010,Player 015,Team 006,0,3
1,1,Player 063,Team 010,Player 030,Team 006,1,3
1,1,Player 063,Team 010,Player 010,Team 006,0,3
1,1,Player 063,Team 010,Player 032,Team 006,0,3
1,1,Player 063,Team 010,Player 015,Team 006,0,3
1,1,Player 020,Team 010,Player 030,Team 006,3,1
1,1,Player 020,Team 010,Player 010,Team 006,0,3
1,1,Player 020,Team 010,Player 032,Team 006,3,0
1,1,Player 020,Team 010,Player 062,Team 006,3,1
1,1,Player 024,Team 010,Player 030,Team 006,3,0
1,1,Player 024,Team 010,Player 010,Team 006,2,3
1,1,Player 024,Team 010,Player 032,Team 006,3,0
1,1,Player 024,Team 010,Player 062,Team 006,3,0
1,2,Player 022,Team 011,Player 002,Team 002,2,3
1,2,Player 022,Team 011,Player 053,Team 002,3,1
1,2,Player 022,Team 011,Player 041,Team 002,3,0
1,2,Player 022,Team 011,Player 054,Team 002,3,0
1,2,Player 021,Team 011,Player 002,Team 002,0,3
1,2,Player 021,Team 011,Player 053,Team 002,3,0
1,2,Player 021,Team 011,Player 041,Team 002,3,2
1,2,Player 021,Team 011,Player 054,Team 002,3,0
1,2,Player 023,Team 011,Player 002,Team 002,2,3
1,2,Player 023,Team 011,Player 053,Team 002,3,0
1,2,Player 023,Team 011,Player 041,Team 002,3,0
1,2,Player 023,Team 011,Player 054,Team 002,3,0
1,2,Player 033,Team 011,Player 002,Team 002,1,3
1,2,Player 033,Team 011,Player 053,Team 002,3,1
1,2,Player 033,Team 011,Player 041,Team 002,0,3
1,2,Player 033,Team 011,Player 054,Team 002,3,0
1,3,Player 004,Team 004,Player 029,Team 013,3,2
1,3,Player 004,Team 004,Player 052,Team 013,3,0
1,3,Player 004,Team 004,Player 051,Team 013,3,0
1,3,Player 004,Team 004,(játék nélkül),Team 013,3,0
1,3,Player 017,Team 004,Player 029,Team 013,1,3
1,3,Player 017,Team 004,Player 052,Team 013,3,0
1,3,Player 017,Team 004,Player 051,Team 013,3,0
1,3,Player 017,Team 004,(játék nélkül),Team 013,3,0
1,3,Player 009,Team 004,Player 029,Team 013,3,0
1,3,Player 009,Team 004,Player 052,Team 013,3,1
1,3,Player 009,Team 004,Player 051,Team 013,3,0
1,3,Player 009,Team 004,(játék nélkül),Team 013,3,0
1,3,Player 018,Team 004,Player 029,Team 013,2,3
1,3,Player 018,Team 004,Player 052,Team 013,3,1
1,3,Player 018,Team 004,Player 051,Team 013,3,0
1,3,Player 018,Team 004,(játék nélkül),Team 013,3,0
1,4,Player 034,Team 007,Player 045,Team 009,3,0
1,4,Player 034,Team 007,Player 019,Team 009,1,3
1,4,Player 034,Team 007,Player 058,Team 009,3,0
1,4,Player 034,Team 007,Player 027,Team 009,1,3
1,4,Player 026,Team 007,Player 045,Team 009,3,1
1,4,Player 026,Team 007,Player 019,Team 009,1,3
1,4,Player 026,Team 007,Player 058,Team 009,3,0
1,4,Player 026,Team 007,Player 027,Team 009,3,0
1,4,Player 049,Team 007,Player 045,Team 009,0,3
1,4,Player 049,Team 007,Player 019,Team 009,0,3
1,4,Player 049,Team 007,Player 058,Team 009,3,1
1,4,Player 049,Team 007,Player 027,Team 009,1,3
1,4,Player 065,Team 007,Player 027,Team 009,0,3
