round_number,round_match_number,player_name,team_name,opponent_player,opponent_team,player_points,opponent_points,side
1,1,Player 064,Team 010,Player 030,Team 006,1,3,Home
1,1,Player 030,Team 006,Player 064,Team 010,3,1,Away
1,1,Player 064,Team 010,Player 010,Team 006,0,3,Home
1,1,Player 010,Team 006,Player 064,Team 010,3,0,Away
1,1,Player 064,Team 010,Player 032,Team 006,1,3,Home
1,1,Player 032,Team 006,Player 064,Team 010,3,1,Away
1,1,Player 064,Team 010,Player 015,Team 006,0,3,Home
1,1,Player 015,Team 006,Player 064,Team 010,3,0,Away
1,1,Player 063,Team 010,Player 030,Team 006,1,3,Home
1,1,Player 030,Team 006,Player 063,Team 010,3,1,Away
1,1,Player 063,Team 010,Player 010,Team 006,0,3,Home
1,1,Player 010,Team 006,Player 063,Team 010,3,0,Away
1,1,Player 063,Team 010,Player 032,Team 006,0,3,Home
1,1,Player 032,Team 006,Player 063,Team 010,3,0,Away
1,1,Player 063,Team 010,Player 015,Team 006,0,3,Home
1,1,Player 015,Team 006,Player 063,Team 010,3,0,Away
1,1,Player 020,Team 010,Player 030,Team 006,3,1,Home
1,1,Player 030,Team 006,Player 020,Team 010,1,3,Away
1,1,Player 020,Team 010,Player 010,Team 006,0,3,Home
1,1,Player 010,Team 006,Player 020,Team 010,3,0,Away
1,1,Player 020,Team 010,Player 032,Team 006,3,0,Home
1,1,Player 032,Team 006,Player 020,Team 010,0,3,Away
1,1,Player 020,Team 010,Player 062,Team 006,3,1,Home
1,1,Player 062,Team 006,Player 020,Team 010,1,3,Away
1,1,Player 024,Team 010,Player 030,Team 006,3,0,Home
1,1,Player 030,Team 006,Player 024,Team 010,0,3,Away
1,1,Player 024,Team 010,Player 010,Team 006,2,3,Home
1,1,Player 010,Team 006,Player 024,Team 010,3,2,Away
1,1,Player 024,Team 010,Player 032,Team 006,3,0,Home
1,1,Player 032,Team 006,Player 024,Team 010,0,3,Away
1,1,Player 024,Team 010,Player 062,Team 006,3,0,Home
1,1,Player 062,Team 006,Player 024,Team 010,0,3,Away
1,2,Player 022,Team 011,Player 002,Team 002,2,3,Home
1,2,Player 002,Team 002,Player 022,Team 011,3,2,Away
1,2,Player 022,Team 011,Player 053,Team 002,3,1,Home
1,2,Player 053,Team 002,Player 022,Team 011,1,3,Away
1,2,Player 022,Team 011,Player 041,Team 002,3,0,Home
1,2,Player 041,Team 002,Player 022,Team 011,0,3,Away
