round_number,rank,team_name,rounds_played,rounds_won,rounds_drawn,rounds_lost,matches_played,matches_won,matches_lost,matches_won_percent,points
1,1,Team 001,1,1,0,0,16,13,3,81.25,2
1,2,Team 003,1,1,0,0,16,16,0,100.0,2
1,3,Team 004,1,1,0,0,16,14,2,87.5,2
1,4,Team 005,1,1,0,0,16,11,5,68.75,2
1,4,Team 011,1,1,0,0,16,11,5,68.75,2
1,5,Team 007,1,1,0,0,16,9,7,56.25,2
1,6,Team 006,1,1,0,0,16,10,6,62.5,2
1,7,Team 012,1,0,1,0,16,8,8,50.0,1
1,8,Team 008,1,0,1,0,16,8,8,50.0,1
1,9,Team 009,1,0,0,1,16,7,9,43.75,0
1,10,Team 010,1,0,0,1,16,6,10,37.5,0
1,11,Team 002,1,0,0,1,16,5,11,31.25,0
1,11,Team 014,1,0,0,1,16,5,11,31.25,0
1,12,Team 015,1,0,0,1,16,3,13,18.75,0
1,13,Team 013,1,0,0,1,16,2,14,12.5,0
1,14,Team 016,1,0,0,1,16,0,16,0.0,0
2,1,Team 001,2,2,0,0,32,23,9,71.88,4
2,2,Team 004,2,2,0,0,32,23,9,71.88,4
2,3,Team 005,2,2,0,0,32,25,7,78.13,4
2,4,Team 007,2,2,0,0,32,18,14,56.25,4
2,5,Team 003,2,1,1,0,32,24,8,75.0,3
2,6,Team 011,2,1,1,0,32,19,13,59.38,3
2,6,Team 008,2,1,1,0,32,19,13,59.38,3
2,7,Team 006,2,1,0,1,32,15,17,46.88,2
2,8,Team 014,2,1,0,1,32,14,18,43.75,2
2,9,Team 015,2,1,0,1,32,18,14,56.25,2
2,10,Team 012,2,0,1,1,32,14,18,43.75,1
2,11,Team 009,2,0,0,2,32,14,18,43.75,0
2,12,Team 002,2,0,0,2,32,12,20,37.5,0
2,13,Team 013,2,0,0,2,32,9,23,28.13,0
2,14,Team 010,2,0,0,2,32,8,24,25.0,0
2,15,Team 016,2,0,0,2,32,1,31,3.13,0
3,1,Team 001,3,3,0,0,48,38,10,79.17,6
3,2,Team 004,3,3,0,0,48,38,10,79.17,6
3,3,Team 003,3,2,1,0,48,35,13,72.92,5
3,4,Team 005,3,2,1,0,48,33,15,68.75,5
3,5,Team 011,3,2,1,0,48,35,13,72.92,5
3,6,Team 007,3,2,0,1,48,23,25,47.92,4
3,7,Team 008,3,1,2,0,48,27,21,56.25,4
3,8,Team 014,3,2,0,1,48,27,21,56.25,4
3,9,Team 012,3,1,1,1,48,23,25,47.92,3
3,10,Team 006,3,1,0,2,48,16,32,33.34,2
3,11,Team 015,3,1,0,2,48,25,23,52.09,2
3,12,Team 010,3,1,0,2,48,24,24,50.0,2
3,13,Team 009,3,0,0,3,48,17,31,35.42,0
3,14,Team 002,3,0,0,3,48,13,35,27.09,0
3,15,Team 013,3,0,0,3,48,9,39,18.75,0
3,16,Team 016,3,0,0,3,48,1,47,2.09,0
4,1,Team 001,4,4,0,0,64,51,13,79.69,8
4,2,Team 003,4,3,1,0,64,45,19,70.32,7
4,3,Team 011,4,3,1,0,64,47,17,73.44,7
4,4,Team 004,4,3,0,1,64,44,20,68.75,6
4,5,Team 007,4,3,0,1,64,33,31,51.57,6
4,6,Team 008,4,2,2,0,64,36,28,56.25,6
4,7,Team 014,4,3,0,1,64,40,24,62.5,6
4,8,Team 012,4,2,1,1,64,34,30,53.13,5
4,9,Team 005,4,2,1,1,64,36,28,56.25,5
4,10,Team 006,4,1,0,3,64,21,43,32.82,2
4,11,Team 015,4,1,0,3,64,29,35,45.32,2
4,12,Team 009,4,1,0,3,64,27,37,42.19,2
4,13,Team 010,4,1,0,3,64,30,34,46.88,2
4,14,Team 013,4,0,0,4,64,16,48,25.0,0
4,14,Team 002,4,0,0,4,64,16,48,25.0,0
4,15,Team 016,4,0,0,4,64,7,57,10.94,0
5,1,Team 001,5,5,0,0,80,63,17,78.75,10
5,2,Team 004,5,4,0,1,80,59,21,73.75,8
5,3,Team 007,5,4,0,1,80,44,36,55.0,8
5,4,Team 008,5,3,2,0,80,47,33,58.75,8
5,5,Team 014,5,4,0,1,80,50,30,62.5,8
5,6,Team 011,5,3,1,1,80,52,28,65.0,7
5,7,Team 003,5,3,1,1,80,51,29,63.75,7
5,8,Team 012,5,3,1,1,80,43,37,53.75,7
5,9,Team 005,5,2,1,2,80,43,37,53.75,5
5,10,Team 006,5,2,0,3,80,30,50,37.5,4
5,11,Team 010,5,2,0,3,80,41,39,51.25,4
5,12,Team 015,5,1,0,4,80,36,44,45.0,2
5,13,Team 009,5,1,0,4,80,32,48,40.0,2
5,14,Team 002,5,0,0,5,80,21,59,26.25,0
5,15,Team 013,5,0,0,5,80,20,60,25.0,0
5,16,Team 016,5,0,0,5,80,8,72,10.0,0
6,1,Team 001,6,6,0,0,96,79,17,82.3,12
6,2,Team 007,6,5,0,1,96,57,39,59.38,10
6,3,Team 008,6,4,2,0,96,58,38,60.42,10
6,4,Team 014,6,5,0,1,96,66,30,68.75,10
6,5,Team 011,6,4,1,1,96,65,31,67.71,9
6,6,Team 003,6,4,1,1,96,64,32,66.67,9
6,7,Team 012,6,4,1,1,96,53,43,55.21,9
6,8,Team 004,6,4,0,2,96,62,34,64.59,8
6,9,Team 006,6,3,0,3,96,39,57,40.63,6
6,10,Team 005,6,2,1,3,96,50,46,52.09,5
6,11,Team 010,6,2,0,4,96,44,52,45.84,4
6,12,Team 015,6,1,0,5,96,39,57,40.63,2
6,13,Team 009,6,1,0,5,96,32,64,33.34,2
6,14,Team 013,6,0,0,6,96,26,70,27.09,0
6,14,Team 002,6,0,0,6,96,26,70,27.09,0
6,15,Team 016,6,0,0,6,96,8,88,8.34,0
7,1,Team 001,7,7,0,0,112,90,22,80.36,14
7,2,Team 008,7,5,2,0,112,68,44,60.72,12
7,3,Team 012,7,5,1,1,112,63,49,56.25,11
7,4,Team 014,7,5,1,1,112,74,38,66.08,11
7,5,Team 011,7,4,2,1,112,73,39,65.18,10
7,6,Team 004,7,5,0,2,112,71,41,63.4,10
7,7,Team 007,7,5,0,2,112,64,48,57.15,10
7,8,Team 003,7,4,1,2,112,70,42,62.5,9
7,9,Team 006,7,4,0,3,112,50,62,44.65,8
7,10,Team 005,7,2,2,3,112,58,54,51.79,6
7,11,Team 010,7,3,0,4,112,54,58,48.22,6
7,12,Team 015,7,1,1,5,112,47,65,41.97,3
7,13,Team 009,7,1,0,6,112,38,74,33.93,2
7,14,Team 013,7,0,0,7,112,31,81,27.68,0
7,14,Team 002,7,0,0,7,112,31,81,27.68,0
7,15,Team 016,7,0,0,7,112,14,98,12.5,0
8,1,Team 001,8,8,0,0,128,103,25,80.47,16
8,2,Team 008,8,6,2,0,128,82,46,64.07,14
8,3,Team 012,8,6,1,1,128,76,52,59.38,13
8,4,Team 014,8,6,1,1,128,83,45,64.85,13
8,5,Team 011,8,5,2,1,128,86,42,67.19,12
8,6,Team 004,8,6,0,2,128,83,45,64.85,12
8,7,Team 007,8,5,0,3,128,71,57,55.47,10
8,8,Team 006,8,5,0,3,128,63,65,49.22,10
8,9,Team 003,8,4,1,3,128,73,55,57.04,9
8,10,Team 005,8,3,2,3,128,71,57,55.47,8
8,11,Team 010,8,3,0,5,128,57,71,44.54,6
8,12,Team 015,8,1,1,6,128,51,77,39.85,3
8,13,Team 009,8,1,0,7,128,41,87,32.04,2
8,14,Team 013,8,0,0,8,128,34,94,26.57,0
8,14,Team 002,8,0,0,8,128,34,94,26.57,0
8,15,Team 016,8,0,0,8,128,16,112,12.5,0
9,1,Team 001,9,9,0,0,144,119,25,82.64,18
