index,affiliation,application_type,prof_category_1,prof_category_2,employment_type,expected_experience,location,prof_name,subscr_product_name,gross_monthly_salary HUF,gross_monthly_salary EUR,language_nationality,language_level
0,Fireeng Kft,website,Engineer,Civil Engineer,full time,not required,"Pest_county,_Budapest",Tűzvédelmi tervező,pro_plus,,,none,none
1,FINE SERVICE Kft.,website,"HR, Human Relations","Payroll Assistance, Social Insurance Assistance",full time,1-3 years,"Pest_county,_Budapest",Bérszámfejtő és pénzügyes,optimum,,,none,none
2,MAXABO KFT.,website,Skilled Labour,"Car Repairer, Car Service  Advisor",full time,3-5 years,"Pest_county,_Budapest",Autószerelő BMW márkaszervizbe,start_prem,946969.0,2349.7990074441686,english,basic
3,MAXABO KFT.,website,"Manual Work, Unskilled Work, Trained Work","Handling, Loading",full time,3-5 years,"Pest_county,_Budapest",Autóalkatrész raktáros,start_prem,606060.0,1503.8709677419354,none,none
4,Opel Maxabo / Maxabo Kft.,website,"Administration, Assistance, Office Work","Administrator, Document Manager",full time,not required,"Pest_county,_Budapest",Recepciós munkatárs,optimum,,,english,intermediate
5,H-Drive Europa Kft.,website,"Sales, Trade",Regional Sales Representative,full time,not required,"Pest_county,_Budapest",Területi képviselő/értékesítő,optimum,,,none,none
6,H & M Hennes & Mauritz Kft.,karrierlink,Skilled Labour,"Shop Assistant, Cashier",full time,not required,"Pest_county,_Budapest",Eladó 40 óra (Váci 1. Budapest),pro_plus,,,none,none
7,Díjbeszedő Holding Zrt.,website,"Finance, Accounting",Accounting Expert,full time,3-5 years,"Pest_county,_Budapest",Számviteli szakértő,pro_plus,,,none,none
8,MFB Magyar Fejlesztési Bank Zártkörűen Működő Részvénytársaság,karrierlink,"Marketing,  Media, PR",Marketing,full time,1-3 years,"Pest_county,_Budapest",Marketing menedzser,pro_plus,,,english,intermediate
9,Kőházy-Tradíció KFT.,website,"Manual Work, Unskilled Work, Trained Work","Handling, Loading",full time,1-3 years,"Pest_county,_Budapest",Raktáros-áruszállító,start_prem,621212.0,1541.4689826302729,none,none
10,BKK Zrt.,karrierlink,Engineer,Architect,full time,1-3 years,Pest_county,Senior Infrastruktúrafejlesztő Munkatárs,optimum,,,none,none
11,Erinum Capital Zrt.,website,"Law, Legal Advisory","Law Clerk, Legal Assistant",full time,3-5 years,"Pest_county,_Budapest",Jogi asszisztens / Követeléskezelő,optimum,,,none,none
12,IT-Wan Kft.,website,Skilled Labour,"Driver, Chauffeur, Courier",full time,not required,Pest_county,"Futár (Budapest, Dunakeszi, Vecsés)",start_prem,771212.0,1913.6774193548388,none,none
13,Decor Floor Kft.,website,"Sales, Trade",Sales Representative,full time,1-3 years,"Pest_county,_Budapest",Sales support,pro_plus,568181.0,1409.87841191067,english,intermediate
14,Supernova Intertrans Kft.,website,"Transportation, Procurement, Logistics","Logistic Specialist, Transport Organizer",full time,1-3 years,"Pest_county,_Budapest",Freight forwarding specialist,optimum,1000000.0,2481.3895781637716,english,intermediate
15,Magyar Éremkibocsátó Kft.,website,"Finance, Accounting",Financial Assistant,full time,not required,"Pest_county,_Budapest",Pénzügyi asszisztens,optimum,,,english,basic
16,Magyar Éremkibocsátó Kft.,website,"Finance, Accounting",Accounting,full time,1-3 years,"Pest_county,_Budapest",Könyvelő,optimum,,,english,intermediate
17,Multi Alarm Zrt.,website,Skilled Labour,Personal and property protection,full time,1-3 years,Pest_county,Kivonuló járőr,optimum,,,none,none
18,UNIX AUTÓ KFT.,karrierlink,"Sales, Trade","Merchant, Shop Assistant",full time,1-3 years,"Pest_county,_Budapest",Alkatrész Kiszállító (Budapest X. kerület),optimum,,,none,none
19,Accord Group Polska Sp. zo.o.,website,"Administration, Assistance, Office Work",Head of Administration,full time,5-10 years,"Pest_county,_Budapest",Leader of Accountancy & Administration,optimum_complex,,,english,higheradvanced
20,KRÁLL-TECH Kft,website,Skilled Labour,Plumbing-gas-heating,full time,1-3 years,"Pest_county,_Budapest",Épületgépészeti szerelő,start_prem,909090.0,2255.8064516129034,none,none
21,Református Szeretetszolgálat,website,Skilled Labour,"Nurse, Health Worker",full time,not required,"Pest_county,_Budapest",Ápoló / Szakápoló,optimum,,,none,none
22,Fireeng Kft,website,Engineer,Civil Engineer,full time,not required,"Pest_county,_Budapest",Tűzvédelmi tervező,pro_plus,,,none,none
23,FINE SERVICE Kft.,website,"HR, Human Relations","Payroll Assistance, Social Insurance Assistance",full time,1-3 years,"Pest_county,_Budapest",Bérszámfejtő és pénzügyes,optimum,,,none,none
24,Református Szeretetszolgálat,website,"Finance, Accounting",Financial Assistant,full time,not required,"Pest_county,_Budapest",Gazdasági ügyintéző,optimum,,,none,none
25,Keskeny és Társai 2001 Kft.,ats,"Transportation, Procurement, Logistics","Storage, Stockpiling",full time,5-10 years,"Pest_county,_Budapest",Raktárvezető,optimum,,,english,intermediate
26,ELEKTRO PROFI Vállalkozási Kft.,website,Engineer,Electrical Engineer,full time,1-3 years,"Pest_county,_Budapest",Projektmérnök,pro_plus,,,english,intermediate
27,STX HORSEBOXES Kft.,website,Skilled Labour,Other Skilled Work,full time,3-5 years,"Pest_county,_Budapest",Kárpitos (Budapest),start_prem,,,none,none
28,STX HORSEBOXES Kft.,website,Skilled Labour,"Car Repairer, Car Service  Advisor",full time,3-5 years,"Pest_county,_Budapest",Autóvillamossági szerelő (Budapest),start_prem,,,none,none
